schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
支付周期,一次性付款条款审核,一次性付款|分期付款,对于出让方付款周期建议无需约定过长，以免增加交易风险。,对于受让方付款周期建议根据交易风险，设置合理的付款周期，避免在签署合同时一次性付款。,未识别,,支付周期条款缺失或约定不明确，建议补充完整。可根据自身交易风险，选择一次性付款或分期付款，季度付款，年付等多种支付周期。,高,,支付周期有一次性付款，分期付款，季度付款，年付等多种周期，应选择合理的支付周期支付款项。,支付方式为一次性支付全部合同价款，建议根据实际交易风险，合理分配价款支付周期。,支付周期审核,转让价格及支付方式
支付期限,识别,,,,未识别,,条款缺失或约定不明确，建议补充完整。支付期限应明确约定，避免款项支付出现履约矛盾。,高,,,,支付期限风险审核,转让价格及支付方式
开户行,识别,开户行|开户网点|支行,,,未识别,,开户行信息缺失或约定不明确，建议补充完整。,中,,如产生诉讼，需要申请诉讼保全，可利用合同中写明的开户信息作为财产线索。且利用指定账户打款、收款，能有效避免争议,,开户行信息审核,转让价格及支付方式
开户名称,识别,开户名|名称,,,未识别,,开户名称缺失或约定不明确，建议补充完整。,中,,,,收款账户审核,转让价格及支付方式
账号,银行卡号校验,,,,未识别,,银行卡号缺失或约定不明确，建议补充完整。,中,,,银行卡号校验错误，建议核实。,收款账户信息规范性审核,转让价格及支付方式
内部变更登记期限,识别,,,,未识别,,条款缺失或约定不明确，建议补充完整。记载于股东名册的股东，可以依股东名册主张行使股东权利。,高,【《中华人民共和国公司法》第三十二条】有限责任公司应当置备股东名册，记载下列事项： （一）股东的姓名或者名称及住所； （二）股东的出资额； （三）出资证明书编号。 记载于股东名册的股东，可以依股东名册主张行使股东权利。 公司应当将股东的姓名或者名称向公司登记机关登记；登记事项发生变更的，应当办理变更登记。未经登记或者变更登记的，不得对抗第三人。|【《中华人民共和国公司法》第七十三条】依照本法第七十一条、第七十二条转让股权后，公司应当注销原股东的出资证明书，向新股东签发出资证明书，并相应修改公司章程和股东名册中有关股东及其出资额的记载。对公司章程的该项修改不需再由股东会表决。,,,内部变更登记条款审核,变更登记
外部变更登记期限,识别,,,,未识别,,条款缺失或约定不明确，建议补充完整。,高,【《中华人民共和国公司法》第三十二条】有限责任公司应当置备股东名册，记载下列事项： （一）股东的姓名或者名称及住所； （二）股东的出资额； （三）出资证明书编号。 记载于股东名册的股东，可以依股东名册主张行使股东权利。 公司应当将股东的姓名或者名称向公司登记机关登记；登记事项发生变更的，应当办理变更登记。未经登记或者变更登记的，不得对抗第三人。,,,工商变更登记条款审核,变更登记
股权排他性、无瑕疵承诺,识别,,,,未识别,,条款缺失或约定不明确，建议补充完整。,高,"【《中华人民共和国民法典》第四百四十三条　】以基金份额、股权出质的，质权自办理出质登记时设立。
基金份额、股权出质后，不得转让，但是出质人与质权人协商同意的除外。出质人转让基金份额、股权所得的价款，应当向质权人提前清偿债务或者提存。",出让人可根据股权权属做出保证其主体资格合法，有出让股权的权利能力与行为能力；保证其转让的股权完整，未设定任何担保、抵押及其他第三方权益的承诺、声明。,,股权排他性、无瑕疵承诺审核,知情条款
债权债务披露,识别,,,,未识别,,条款缺失或约定不明确，建议补充完整。,高,,,,债权债务披露义务审核,知情条款
诉讼或仲裁披露,识别,,,,未识别,,条款缺失或约定不明确，建议补充完整。,高,,,,诉讼或仲裁披露义务审核,知情条款
股东权利义务转移,识别,,,,未识别,,条款缺失或约定不明确，建议补充完整。建议明确股东权利与义务转移的时间节点。,高,,,,股东权利义务转移条款审核,权利与义务
投资风险转移条款,识别,,,,未识别,,条款缺失或约定不明确，建议补充完整。目标公司经营的利益分配和投资亏损的风险承担，出让人和受让人应明确投资风险转移的时间节点。,高,,,,投资风险转移条款审核,收益与亏损
股权转让方费用承担,识别,,,,未识别,,条款缺失或约定不明确，建议补充完整。明确由哪一方办理股权变更手续，相关费用由哪一方承担。,高,,股权转让过程中，转让方需要交纳各种税费，故办理股权转让的税费、变更登记费用等应明确约定由谁承担。,,股权转让方费用承担条款审核。,其他费用
保密条款,识别,,,,未识别，不做审核,,,低,【《中华人民共和国民法典》第五百零一条　】当事人在订立合同过程中知悉的商业秘密或者其他应当保密的信息，无论合同是否成立，不得泄露或者不正当地使用；泄露、不正当地使用该商业秘密或者信息，造成对方损失的，应当承担赔偿责任。,,,保密条款审核,保密条款
甲方合同解除,识别,,,,未识别,,条款缺失或约定不明确，建议补充完整。,中,【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十三条】有下列情形之一的，当事人可以解除合同：（一）因不可抗力致使不能实现合同目的；（二）在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；（三）当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；（四）当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；（五）法律规定的其他情形。以持续履行的债务为内容的不定期合同，当事人可以随时解除合同，但是应当在合理期限之前通知对方。,合同解除后，尚未履行的，终止履行；已经履行的，根据履行情况和合同性质，当事人可以请求恢复原状或者采取其他补救措施，并有权请求赔偿损失。,,合同解除条款审核,合同解除条款审核
乙方合同解除,识别,,,,未识别,,条款缺失或约定不明确，建议补充完整。,中,【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十三条】有下列情形之一的，当事人可以解除合同：（一）因不可抗力致使不能实现合同目的；（二）在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；（三）当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；（四）当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；（五）法律规定的其他情形。以持续履行的债务为内容的不定期合同，当事人可以随时解除合同，但是应当在合理期限之前通知对方。,合同解除后，尚未履行的，终止履行；已经履行的，根据履行情况和合同性质，当事人可以请求恢复原状或者采取其他补救措施，并有权请求赔偿损失。,,合同解除条款审核,合同解除条款审核
违约责任,识别,,,,未识别,,"违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,《中华人民共和国民法典》【第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|《中华人民共和国民法典》【第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。,违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,,违约责任合理性、合规性审核,合同违约条款审核
合同生效,识别,,,,未识别,,"生效条款缺失或约定不明确，建议补充完整。
一般合同自双方签字或盖章后生效。",中,《中华人民共和国民法典》【第四百九十条】当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受时，该合同成立。法律、行政法规规定或者当事人约定合同应当采用书面形式订立，当事人未采用书面形式但是一方已经履行主要义务，对方接受时，该合同成立。|《中华人民共和国民法典》【第五百零二条】依法成立的合同，自成立时生效，但是法律另有规定或者当事人另有约定的除外。依照法律、行政法规的规定，合同应当办理批准等手续的，依照其规定。未办理批准等手续影响合同生效的，不影响合同中履行报批等义务条款以及相关条款的效力。应当办理申请批准等手续的当事人未履行义务的，对方可以请求其承担违反该义务的责任。依照法律、行政法规的规定，合同的变更、转让、解除等情形应当办理批准等手续的，适用前款规定。,,,生效条款审核,合同效力条款审核
通知与送达,识别,,,,未识别,,"通知与送达条款是为了方便签约各方互相发送通知而写明签约方的地址、邮箱等送达信息，目的在便于发送通知的基础上,进一步确保该通知的发送是有效的送达,避免纠纷发生时因送达存在瑕疵而被认定为未及时、未效而承担不利后果。因此建议补充完整。",低,,,,通知与送达条款审核,通知与送达审核
未尽事宜,识别,,,,未识别，不作审核,,,低,,,,未尽事宜条款审核,未尽事宜条款审核
争议解决,识别,,,,未识别,,"争议解决条款缺失或约定不明确，建议补充完整。
如发生争议，双方应友好协商解决。既约定仲裁又约定了诉讼的争议条款的，一般认定为无效条款。",中,,争议解决条款是当事人针对后续可能发生的争议提前约定处理方式的条款。,,合同争议解决方式审核,合同争议解决方式审核
附件,识别,,,,未识别，不作审核,,,低,,,,合同附件审核,合同附件审核
签订日期,识别,,,,未识别,,签订日期缺失，建议补充完整。,中,"《中华人民共和国民法典》【第五百零二条】 依法成立的合同,自成立时生效,但是法律另有规定或者当事人另有约定的除外。",签订日期为合同成立日期。,,合同落款日期审核,合同签订信息条款审核
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
