schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice
验收,识别,验收标准,作为卖方应与买方明确质量合格的标准，如无法达到验收标准卖方是否承担违约责任，有哪些救济方式。还可规定质量异议期，即买方在收到货后的质量异议期内未及时验收或未提出异议的，视为达到验收标准。,"1、作为买方对产品质量的要求，尽量采用可量化的标准，如每一批次货物的合格率，并附产品合格条件。
2、验收一般分为表面验收和质量验收两个环节，验收完成后要出具验收合格报告往往关系到货款的支付（质量合格的，要规定合格后的货款/尾款支付期限，不合格后的救济方式）。
3、买方应当在检验期限内将标的物的数量或者质量不符合约定的情形通知卖方。",未识别,,缺少验收相关条款，建议添加。货物验收是货物买卖合同中至关重要的条款，关系到质保和货款的支付等，在实践中验收环节往往是争议频发的时间点，因此双方都要足够重视货物验收，并对此环节里双方的权利义务作出清晰明确的规定。,高,"【《中华人民共和国民法典》第六百二十一条 】当事人约定检验期限的，买受人应当在检验期限内将标的物的数量或者质量不符合约定的情形通知出卖人。买受人怠于通知的，视为标的物的数量或者质量符合约定。
当事人没有约定检验期限的，买受人应当在发现或者应当发现标的物的数量或者质量不符合约定的合理期限内通知出卖人。买受人在合理期限内未通知或者自收到标的物之日起二年内未通知出卖人的，视为标的物的数量或者质量符合约定;但是，对标的物有质量保证期的，适用质量保证期，不适用该二年的规定。
出卖人知道或者应当知道提供的标的物不符合约定的，买受人不受前两款规定的通知时间的限制。",验收标准关乎到违约责任，所以合同双方应当约定明确的验收标准。,
验收期限,识别,,卖方应该注意合同中应约定合理的验收期限，并催促对方及时验收。,买方如需要时间进行产品验收或对标的物进行试用或调试的，应约定验收的时间以及在约定时间内未验收的处理办法。,未识别,,缺少验收期限条款，建议添加。买卖合同中一般都会规定验收期限，以便于在合理时间内充分的验收。对卖方来讲如果买方要求需要一定时间进行验收的，一定要与对方约定验收期限。,高,"【《中华人民共和国民法典》第六百二十条】买受人收到标的物时应当在约定的检验期限内检验。没有约定检验期限的，应当及时检验。|【《中华人民共和国民法典》第六百二十一条】当事人约定检验期限的，买受人应当在检验期限内将标的物的数量或者质量不符合约定的情形通知出卖人。买受人怠于通知的，视为标的物的数量或者质量符合约定。
当事人没有约定检验期限的，买受人应当在发现或者应当发现标的物的数量或者质量不符合约定的合理期限内通知出卖人。买受人在合理期限内未通知或者自收到标的物之日起二年内未通知出卖人的，视为标的物的数量或者质量符合约定；但是，对标的物有质量保证期的，适用质量保证期，不适用该二年的规定。
出卖人知道或者应当知道提供的标的物不符合约定的，买受人不受前两款规定的通知时间的限制。|【《中华人民共和国民法典》第六百二十二条】当事人约定的检验期限过短，根据标的物的性质和交易习惯，买受人在检验期限内难以完成全面检验的，该期限仅视为买受人对标的物的外观瑕疵提出异议的期限。
约定的检验期限或者质量保证期短于法律、行政法规规定期限的，应当以法律、行政法规规定的期限为准。|【《中华人民共和国民法典》第六百二十三条】当事人对检验期限未作约定，买受人签收的送货单、确认单等载明标的物数量、型号、规格的，推定买受人已经对数量和外观瑕疵进行检验，但是有相关证据足以推翻的除外。",合同应当约定合理的验收期限。,
结算方式,识别,支付方式,对于卖方来说，结算方式应尽量写明结算期限，并且结算期限尽量要短，付款条款尽量明确，以保证顺利回款。,对于买方来说，要按照合同约定的结算方式来进行结算。,未识别,,结算方式缺少，建议添加。,高,【《中华人民共和国民法典》第六百二十六条】买受人应当按照约定的数额和支付方式支付价款。|【《中华人民共和国民法典》第六百二十七条】买受人应当按照约定的地点支付价款。|【《中华人民共和国民法典》第六百二十八条】买受人应当按照约定的时间支付价款。,合同双方应当约定支付货款的方式、时间、地点。,
开户行,识别,开户行|开户网点|支行,,,未识别,,缺少开户行信息，建议添加。,低,,,
开户名称,识别,开户名|名称,,,未识别,,缺少开户名称信息，建议添加。,低,,,
账号,银行卡号校验,,,,未识别,,缺少银行账号信息，建议添加。,低,,,银行账户校验错误，建议核实。
违约责任,违约金审核,违约|经济责任,卖方应注意在合同中需约定：1、买方逾期付款的违约责任 2、买方不及时验收导致不付款的违约责任，同时做到按时保质保量向买方交货。,"买方应注意在合同中需约定：1、卖方逾期交货的责任 2、卖方货物不符合质量标准的责任（包括包装不合格和售后不合格）。
同时保证在合同约定的付款时间内走完付款流程，按时付款。",未识别,,缺少违约责任条款，建议约定具体的违约责任。,高,"【《中华人民共和国民法典》第五百七十七条】当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。|【《中华人民共和国民法典》第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|【《中华人民共和国民法典》第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。
约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。
当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。",违约金不得超过实际损失的30%，否则超过的部分不被法院支持。约定的违约金低于实际损失数额的，可以在诉讼中主张予以增加，高于实际损失的，对方请求予以减少，法院也会支持。,约定违约金的，违约金不得超过损失的30%。
定金,定金审核,定金,卖方应当按照约定向买方交货，否则将承担双倍返还定金的违约责任。,买房应当按照约定向卖方支付货款，否则将承担损失定金的违约责任。,未识别，不作审核,,,中,"【《中华人民共和国民法典》第五百八十六条 】当事人可以约定一方向对方给付定金作为债权的担保。定金合同自实际交付定金时成立。
定金的数额由当事人约定；但是，不得超过主合同标的额的百分之二十，超过部分不产生定金的效力。实际交付的定金数额多于或者少于约定数额的，视为变更约定的定金数额。|【《中华人民共和国民法典》第五百八十七条 】债务人履行债务的，定金应当抵作价款或者收回。给付定金的一方不履行债务或者履行债务不符合约定，致使不能实现合同目的的，无权请求返还定金；收受定金的一方不履行债务或者履行债务不符合约定，致使不能实现合同目的的，应当双倍返还定金。|【《中华人民共和国民法典》第五百八十八条】当事人既约定违约金，又约定定金的，一方违约时，对方可以选择适用违约金或者定金条款。定金不足以弥补一方违约造成的损失的，对方可以请求赔偿超过定金数额的损失。",定金不得超过主合同标的额的百分之二十，超过部分不产生定金的效力。实际交付的定金数额多于或者少于约定数额的，视为变更约定的定金数额。,约定定金的，定金不得超过合同总价的20%。
合同生效,识别,,,,未识别,,缺乏生效条款，建议添加。,低,,,
争议解决地,识别,人民法院|争议.*(解决|仲裁|起诉|诉讼),,,未识别,,缺少争议解决条款，建议添加。如双方未特别约定争议解决地，由被告所在地或合同履行地人民法院管辖。,中,【《中华人民共和国电子签名法》第十三条】使用私章的，可以要求持私章的人员提供其为合法使用他人私章的证明。,争议解决条款如有约定争议解决地的，按条款约定确定管辖法院，但不得违反专属管辖和级别管辖的约定。如果约定仲裁的，应该写明具体的仲裁机构。卖方将争议解决地规定为卖方所在地最为有利。,
签章,识别,,,,未识别,,缺少签章，建议添加。,中,,在签章时应审查买方公章真伪和来源，需要对方出示公司的授权性文件，警惕无权代理行为的发生，给另一方造成损失。,
签订日期,识别,,,,未识别，不作审核,,,低,,,
附件,识别,,买卖合同订立前的标的物质量及技术要求文件，履行过程中的一切发票、送货单、签收单、验收单，以及双方来往的记录、公函等都应作为合同附件，交易流程较为复杂的，由专人及时跟进和记录。,买卖合同订立前的标的物质量及技术要求文件，履行过程中的一切发票、送货单、签收单、验收单，以及双方来往的记录、公函等都应作为合同附件，交易流程较为复杂的，由专人及时跟进和记录。,未识别，不作审核,,,低,,,
