schema,pos rule,pos keywords,Part A pos legal advice,Part B pos legal advice,neg rule,neg keywords,Part A neg legal advice,Part B neg legal advice,risk level,legal basis,risk statement
乙方联系方式,比对,11位/8位比对,,,未识别,乙方联系方式缺少，建议添加,乙方联系方式缺少，建议添加,,高,应保证合同载明的双方联系方式为有效联系方式，若双方在合同中有指定联系人的，还应载明指定联系人的有效联系方式，防止后续履行中出现沟通困难,
乙方地址,识别,,,,未识别,缺少双方地址信息，建议添加,缺少双方地址信息，建议添加,,,,
鉴于条款,识别,,应审查鉴于条款中所包含的法律法规名称是否正确（查找与替换，将合同法改为民法典）,,未匹配，不作审核,,,,低,,
产品名称,识别,,产品名称应该规范化，忌用缩写、代称、口头语，符合交易习惯。对产品的定义要精细准确，双方对产品的规格、品牌、型号等信息有要求的，都应写明。,产品名称应该规范化，忌用缩写、代称、口头语，符合交易习惯。对产品的定义要精细准确，双方对产品的规格、品牌、型号等信息有要求的，都应写明。,匹配,烟草|农药|化肥|酒|枪支|弹药,买卖合同标的物不能是法律禁止或者限制流通的标的物。限制流通的商品，双方需要审查商品的经营许可证，未取得的，合同可能会被认定为无效；禁止流通的，私自流通不但会被认定为合同无效，还会被追究刑事责任。,买卖合同标的物不能是法律禁止或者限制流通的标的物。限制流通的商品，双方需要审查商品的经营许可证，未取得的，合同可能会被认定为无效；禁止流通的，私自流通不但会被认定为合同无效，还会被追究刑事责任。,高,"《民法典》第五百九十七条 因出卖人未取得处分权致使标的物所有权不能转移的，买受人可以解除合同并请求出卖人承担违约责任。
法律、行政法规禁止或者限制转让的标的物，依照其规定。",
产品数量（重量）,正则匹配,.*箱|.*件|.*打|.*扎|.*车|.*框|.*个|.*枚|.*瓶,应对计量方法做出具体解释，切不可用含糊不清的计量概念防止产生分歧，做到明确具体。另外，在一些行业的买卖合同中，可规定合理损耗。,作为买受人应要求卖方对货物数量的描述做到充分明确具体，以免因此产生纠纷。,未匹配,,未识别出明确的产品数量，作为卖方应写明产品数量及计量方式。以便于对方验收、回款以及避免发生争议。,未识别出明确的产品数量，建议在合同中写明产品数量及计量方式便于验收。,高,,
产品质量,正则匹配,产品质量|技术指标|验收标准|合格标准,产品质量在货物买卖类合同中非常重要，双方要选定一个具体的质量标准来执行，不可出现模糊化，概念化的词语。,产品质量在货物买卖类合同中非常重要，双方要选定一个具体的质量标准来执行，不可出现模糊化，概念化的词语。对于成套产品的，也应要求卖方写明配套产品的质量标准。,未匹配,,"产品质量条款缺少
如果未约定质量条款，对于卖方来讲，买方可能会以不符合其质量标准为由拒绝签收或拒绝付款、少付款。","产品质量条款缺少
如果未约定质量条款，卖方可能会交付有瑕疵或达不到使用要求的货物，造成损失。",高,《民法典》第六百一十五条 出卖人应当按照约定的质量要求交付标的物。出卖人提供有关标的物质量说明的，交付的标的物应当符合该说明的质量要求。,
产品价格,识别,,"在确定产品价格时需注意
1、价格是否含税
2、产品单价、总价款的计算方式
3、准确的款项支付时间（包括分期付款的和达到何种付款条件的）
4、金额最好注明大写（不易被修改）","在确定产品价格时需注意
1、价格是否含税
2、产品单价、总价款的计算方式
3、准确的款项支付时间（包括分期付款的和达到何种付款条件的）
4、金额最好注明大写（不易被修改）",未识别,,当事人应当对价款或者报酬进行明确约定，价款或者报酬不明确的，按照订立合同时履行地的市场价格履行;依法应当执行政府定价或者政府指导价的，依照规定履行。,当事人应当对价款或者报酬进行明确约定，价款或者报酬不明确的，按照订立合同时履行地的市场价格履行;依法应当执行政府定价或者政府指导价的，依照规定履行。,高,,
交货时间,识别,,在磋商交货时间条款时，卖方应当结合自身实际。在履行过程中应当按照约定的时间交付标的物。约定期限的，应当在期限内交付，一旦逾期，就可能面临违约责任。,买方应按照合同约定的交货时间按时收货，如逾期收货造成损失，此时卖方已经履行了交货相关义务，损失由买方承担。,未识别,,"交货时间条款缺少
建议添加","交货时间条款缺少
买卖合同应当对产品的交货日期或者期限做出明确规定，有利于约束卖方按期交货。",高,《民法典》第六百零一条 出卖人应当按照约定的时间交付标的物。约定交付期限的，出卖人可以在该交付期限内的任何时间交付。,
交货地点,正则匹配,.*省.*市.*（区|县）|交货地|送货地址|收货地址,出卖人应当按照约定的地点交付标的物。,买方应当及时在交货地点接受货物。,未匹配,,"未识别到交货地点
交付地点的确定，关系到货物毁损、灭失风险的移转，应做出明确约定。履行地点不明确，给付货币的，在接受货币一方所在地履行;交付不动产的，在不动产所在地履行;其他标的，在履行义务一方所在地履行。","未识别到交货地点
交付地点的确定，关系到货物毁损、灭失风险的移转，应做出明确约定。履行地点不明确，给付货币的，在接受货币一方所在地履行;交付不动产的，在不动产所在地履行;其他标的，在履行义务一方所在地履行。",高,"《民法典》第六百零三条 出卖人应当按照约定的地点交付标的物。
当事人没有约定交付地点或者约定不明确，依据本法第五百一十条的规定仍不能确定的，适用下列规定:
(一)标的物需要运输的，出卖人应当将标的物交付给第一承运人以运交给买受人;
(二)标的物不需要运输，出卖人和买受人订立合同时知道标的物在某一地点的，出卖人应当在该地点交付标的物;不知道标的物在某一地点的，应当在出卖人订立合同时的营业地交付标的物。",
交付方式,正则匹配,交货方式|履行方式|交付方式,交付时一定要求对方签字来证明对方已收货，我方已完成交付。如果合同中没有指定收货人，需要求对方出示买方的授权文件或用其他方式来证明已取得授权，并需要相关证明文件来证明交付已完成。用拍照或录像的方式记录交付过程作为证据。还需写明卸货方和卸货费用的承担。,除按合同要求完成交付外，还要在合同中明确如果卖方未按交付要求交付的后果，并且要用拍照或录像的方式来记录交付过程。,未匹配,,"交付方式条款缺少
履行方式不明确的，按照有利于实现合同目的的方式履行，双方也可以另行签订补充协议进行约定","交付方式条款缺少
履行方式不明确的，按照有利于实现合同目的的方式履行，双方也可以另行签订补充协议进行约定",高,,
包装方式,正则匹配,包装规格|产品包装|包装方式,作为卖方应与买方沟通好所需的包装方式，包装费用，以防买方因包装不符合要求为由拒绝付款。,包装与质量和验收息息相关作为买方需要要求卖方写清其包装标准，具体包括包装材料，包装物的供应与回收。,未识别,,出卖人应当按照约定的包装方式交付标的物。对包装方式没有约定或者约定不明确，应当按照通用方式包装；没有通用方式的，应采取资源节约、生态保护的方式包装。,出卖人应当按照约定的包装方式交付标的物。对包装方式没有约定或者约定不明确，应当按照通用方式包装；没有通用方式的，应采取资源节约、生态保护的方式包装。,高,《民法典》第六百一十九条 出卖人应当按照约定的包装方式交付标的物。对包装方式没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，应当按照通用的方式包装;没有通用方式的，应当采取足以保护标的物且有利于节约资源、保护生态环境的包装方式。,
验收,正则匹配,产品质量|技术指标|验收标准|合格标准,作为卖方应与买方明确质量合格的标准，如无法达到验收标准卖方是否承担违约责任，有哪些救济方式。还可规定质量异议期，即买方在收到货后的质量异议期内未及时验收或未提出异议的，视为达到验收标准。,"1、作为买方对产品质量的要求，尽量采用可量化的标准，如每一批次货物的合格率，并附产品合格条件。
2、验收一般分为表面验收和质量验收两个环节，验收完成后要出具验收合格报告往往关系到货款的支付（质量合格的，要规定合格后的货款/尾款支付期限，不合格后的救济方式）",未匹配,,"缺少验收相关条款
货物验收是货物买卖合同中至关重要的条款，关系到质保和货款的支付等，在实践中验收环节往往是争议频发的时间点，因此双方都要足够重视货物验收，并对此环节里双方的权利义务作出清晰明确的规定。","缺少验收相关条款
货物验收是货物买卖合同中至关重要的条款，关系到质保和货款的支付等，在实践中验收环节往往是争议频发的时间点，因此双方都要足够重视货物验收，并对此环节里双方的权利义务作出清晰明确的规定。",高,"《民法典》第六百二十一条 当事人约定检验期限的，买受人应当在检验期限内将标的物的数量或者质量不符合约定的情形通知出卖人。买受人怠于通知的，视为标的物的数量或者质量符合约定。
当事人没有约定检验期限的，买受人应当在发现或者应当发现标的物的数量或者质量不符合约定的合理期限内通知出卖人。买受人在合理期限内未通知或者自收到标的物之日起二年内未通知出卖人的，视为标的物的数量或者质量符合约定;但是，对标的物有质量保证期的，适用质量保证期，不适用该二年的规定。
出卖人知道或者应当知道提供的标的物不符合约定的，买受人不受前两款规定的通知时间的限制。",
验收期限,识别,,卖方应该注意合同中应约定合理的验收期限，并催促对方及时验收。,买方如需要时间进行产品验收或对标的物进行试用或调试的，应规定验收的时间以及在规定时间内未验收的处理办法,未识别,,"缺少验收期限条款
买卖合同中一般都会规定验收期限，以便于在合理时间内充分的验收。对卖方来讲如果买方要求需要一定时间进行验收的，一定要与对方约定验收期限。","缺少验收期限条款
买卖合同中一般都会规定验收期限，以便于在合理时间内充分的验收。",,,
结算方式,识别,,对于卖方来说，结算方式应尽量写明结算期限，并且结算期限尽量要短，付款条款尽量明确，以保证顺利回款。,对于买方来说，要按照合同约定的结算方式来进行结算。,未识别,,结算方式缺少，建议写明,结算方式缺少，建议写明,高,,
开户行,正则匹配,开户行|开户网点|支行,支付信息要保证准确，以免引起不必要的损失,支付信息要保证准确，以免引起不必要的损失,未识别，不作审核,,缺少开户行信息，建议添加,,中,,
开户名称,正则匹配,开户名|名称,支付信息要保证准确，以免引起不必要的损失,支付信息要保证准确，以免引起不必要的损失,未识别，不作审核,,缺少开户名称信息，建议添加,,中,,
账号,比对,18位数字比对,支付信息要保证准确，以免引起不必要的损失,支付信息要保证准确，以免引起不必要的损失,未识别，不作审核,,缺少银行账号信息，建议添加,,中,,
违约责任,识别,,卖方应注意在合同中需约定：1、买方逾期付款的违约责任 2、买方不及时验收导致不付款的违约责任，同时做到按时保质保量向买方交货。,"买方应注意在合同中需约定：1、卖方逾期交货的责任 2、卖方货物不符合质量标准的责任。（包括包装不合格和售后不合格）
同时保证在合同约定的付款时间内走完付款流程，按时付款。",,,缺少违约责任条款，应规定完善、具体的违约责任,缺少违约责任条款，应规定完善、具体的违约责任,高,《民法典》第五百七十七条、第五百八十三条、第五百八十五条,违约金不得超过实际损失的30%，否则超过的部分不被法院支持。约定的违约金低于实际损失数额的，可以在诉讼中主张予以增加，高于实际损失的，对方请求予以减少，法院也会支持。
合同生效,识别,,经双方签字盖章的，合同生效。,经双方签字盖章的，合同生效。,未识别,,缺乏生效条款，建议添加,缺乏生效条款，建议添加,低,,
争议解决地,正则匹配,争议.*(解决|仲裁|起诉|诉讼),争议解决条款如有约定争议解决地的，按条款约定确定管辖法院，但不得违反专属管辖和级别管辖的约定。如果约定仲裁的，应该写明具体的仲裁机构。卖方将争议解决地规定为卖方所在地最为有利。,争议解决条款如有约定争议解决地的，按条款约定确定管辖法院，但不得违反专属管辖和级别管辖的约定。如果约定仲裁的，应该写明具体的仲裁机构。买方将争议解决地规定为买方所在地最为有利。,未识别,,缺少争议解决条款，如双方未特别约定争议解决地，按照《民事诉讼法》规定的合同纠纷争议解决地来确定。,缺少争议解决条款，如双方未特别约定争议解决地，按照《民事诉讼法》规定的合同纠纷争议解决地来确定。,,,
签章,识别,,在签章时应审查买方公章真伪和来源，需要对方出示公司的授权性文件，警惕无权代理行为的发生，给另一方造成损失。,在签章时应审查卖方公章真伪和来源，需要对方出示公司的授权性文件，警惕无权代理行为的发生，给另一方造成损失。,未识别，不作审核,,,,中,《中华人民共和国电子签名法》第13条 使用私章的，可以要求持私章的人员提供其为合法使用他人私章的证明。,
签订日期,识别,,"当双方约定以盖章或授权代表签字后生效时，应写明盖章或签字的时间。
采用书面形式订立合同的，自当事人均签名、盖章或者按指印时合同成立，因此合同签订时间关系合同成立、生效时间，需写明。","当双方约定以盖章或授权代表签字后生效时，应写明盖章或签字的时间。
采用书面形式订立合同的，自当事人均签名、盖章或者按指印时合同成立，因此合同签订时间关系合同成立、生效时间，需写明。",未识别，不作审核,,,,高,,
附件,识别,,买卖合同订立前的标的物质量及技术要求文件，履行过程中的一切发票、送货单、签收单、验收单，以及双方来往的记录、公函等都应作为合同附件，交易流程较为复杂的，由专人及时跟进和记录。,买卖合同订立前的标的物质量及技术要求文件，履行过程中的一切发票、送货单、签收单、验收单，以及双方来往的记录、公函等都应作为合同附件，交易流程较为复杂的，由专人及时跟进和记录。,未识别,,"合同缺少附件
买卖合同订立前的标的物质量及技术要求文件，履行过程中的一切发票、送货单、签收单、验收单，以及双方来往的记录、公函等都应作为合同附件，交易流程较为复杂的，由专人及时跟进和记录。","合同缺少附件
买卖合同订立前的标的物质量及技术要求文件，履行过程中的一切发票、送货单、签收单、验收单，以及双方来往的记录、公函等都应作为合同附件，交易流程较为复杂的，由专人及时跟进和记录。",中,,
