schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
婚生子信息,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",,,,未识别,,"婚生子信息条款缺失或约定不明确，建议补充完整。
",高,,离婚协议书中应载明婚生子的信息，并对其抚养做出约定。,,婚生子信息条款审核,子女抚养条款
抚养权归属,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",孩子.*抚养|孩子.*负责,,,未识别,,"抚养权归属条款缺失或约定不明确，建议补充完整。
",高,"【《中华人民共和国民法典》第一千零七十六条】夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。
离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。|【《中华人民共和国民法典》第一千零八十四条】父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。
离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。
离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。",离婚协议中一般会约定由父或母直接抚养孩子，双方也可约定共同或轮流抚养子女。,,抚养权归属审核,子女抚养条款
抚养费支付期间,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",给付至.*,,,未识别,,"抚养费支付期限条款缺失或约定不明确，建议补充完整。
不直接抚养子女的一方应该负担全部或部分抚养费，一般建议约定抚养费给付至子女有独立生活能力止。",高,"【《中华人民共和国民法典》第一千零八十五条】离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由人民法院判决。
前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。",抚养费支付期限由双方协商，建议在协议中明确，防止后续纠纷。,,扶养费支付期间审核,子女抚养条款
抚养费金额,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",,,,未识别,,抚养费金额条款缺失或约定不明确，建议补充完整。对于抚养费的具体金额，应当明确约定。,高,"【《中华人民共和国民法典》第一千零八十五条】离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由人民法院判决。
前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）第四十二条】民法典第一千零六十七条所称“抚养费”，包括子女生活费、教育费、医疗费等费用。",抚养费负担的多少，由双方协议约定。,,抚养费金额确定性审核,子女抚养条款
抚养费金额递增或变更方式,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",,,,未识别,,抚养费金额递增或变更方式条款缺失或约定不明，建议补充完整。如扶养费支付期间较长，可对抚养费递增或变更的方式做出具体约定，如写明每年递增的百分比。,中,,扶养费金额应当考虑到物价涨幅等因素，可以对抚养费根据物价上涨指数做出具体的递增或变更约定。,,抚养费金额递增或变更方式审核,子女抚养条款
抚养费支付方式,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",,,,未识别,,抚养费支付方式条款缺失或约定不明确，建议补充完整。,高,,离婚协议中需要对子女的抚养费做出约定，建议明确约定抚养费给付方式，明确收款项账户或者微信、支付宝。,,扶养费支付方式明确性审核,子女抚养条款
抚养费支付时间、周期,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",按月给付|每月.*日前给付|一次性支付,,,未识别,,抚养费支付时间、周期条款缺失或约定不明确，建议补充完整。,高,"【《中华人民共和国民法典》第一千零八十四条】父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。
离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。
离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。
【《中华人民共和国民法典》第一千零八十五条】离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由人民法院判决。
前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）第四十二条】民法典第一千零六十七条所称“抚养费”，包括子女生活费、教育费、医疗费等费用。",离婚协议中需要对子女的抚养费做出约定，建议明确约定抚养费支付时间以及周期等，比如是按年支付或是按月支付，以及应在何时支付。,,扶养费支付时间、周期审核,子女抚养条款
抚养中大额支出分配,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",,,,未识别,,抚养中大额支出分配条款缺失或约定不明确，建议补充完整。,高,【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）第四十二条】民法典第一千零六十七条所称“抚养费”，包括子女生活费、教育费、医疗费等费用。,抚养中大额支出，建议明确多少以上金额为大额支出以及双方的承担比例。,,大额支出承担责任分配审核,子女抚养条款
男方开户行,识别,,,,未识别,,男方开户行信息缺失或约定不明确，建议补充完整。如离婚协议中约定了费用支付情形或者补偿、赔偿款项，建议采用银行转账方式，明确收款方开户行信息。,中,,利用指定银行账户信息打款、收款，能有效避免争议,,男方开户行信息审核,指定收款银行账户信息
男方开户名称,识别,,,,未识别,,男方开户名称信息缺失或约定不明确，建议补充完整。如离婚协议中约定了费用支付情形或者补偿、赔偿款项，建议采用银行转账方式，明确收款方银行开户名称信息。,中,,利用指定银行账户信息打款、收款，能有效避免争议,,男方开户名称信息审核,指定收款银行账户信息
男方开户账号,识别,,,,未识别,,男方开户账号信息缺失或约定不明确，建议补充完整。如离婚协议中约定了费用支付情形或者补偿、赔偿款项，建议采用银行转账方式，明确收款方开户账号信息。,中,,利用指定银行账户信息打款、收款，能有效避免争议,,男方女方开户账号信息审核,指定收款银行账户信息
女方开户行,识别,,,,未识别,,女方开户行信息缺失或约定不明确，建议补充完整。如离婚协议中约定了费用支付情形或者补偿、赔偿款项，建议采用银行转账方式，明确收款方开户行信息。,中,,利用指定银行账户信息打款、收款，能有效避免争议,,女方开户行信息审核,指定收款银行账户信息
女方开户名称,识别,,,,未识别,,女方开户名称信息缺失或约定不明确，建议补充完整。如离婚协议中约定了费用支付情形或者补偿、赔偿款项，建议采用银行转账方式，明确收款方开户名称信息。,中,,利用指定银行账户信息打款、收款，能有效避免争议,,女方开户名称信息审核,指定收款银行账户信息
女方开户账号,识别,,,,未识别,,女方开户账号信息缺失或约定不明确，建议补充完整。如离婚协议中约定了费用支付情形或者补偿、赔偿款项，建议采用银行转账方式，明确收款方开户账号信息。,中,,利用指定银行账户信息打款、收款，能有效避免争议,,女方女方开户账号信息审核,指定收款银行账户信息
探望时间,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",,,,未识别,,探望时间条款缺失或约定不明确，建议补充完整。,高,"【《中华人民共和国民法典》第一千零八十六条】离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。
行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。
父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。",探望权条款是离婚协议中的重要条款，建议双方对探望时间协商一致，明确约定，例如一个周期内具体探望时间，还可以对节假日的探望时间作出具体规定。,,探望时间次数明确性审核,子女探望条款
探望次数,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",,,,未识别,,探望次数条款缺失或约定不明确，建议补充完整。,高,"【《中华人民共和国民法典》第一千零八十六条】离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。
行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。
父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。",探望权条款是离婚协议中的重要条款，建议双方对探望次数协商一致，明确约定，在一段时间内具体探望几次为限，以防在探望子女过程中发生争议。,,探望次数明确性审核,子女探望条款
探望地点,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",,,,未识别,,探望地点条款缺失或约定不明确，建议补充完整。,高,"【《中华人民共和国民法典》第一千零八十六条】离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。
行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。
父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。",探望权条款是离婚协议中的重要条款，建议双方协商一致，对探望地点明确约定，例如在指定地点探望还是在抚养人处探望，以防在探望子女过程中发生争议。,,探望地点明确性审核,子女探望条款
探望方式,"若婚生子信息，抚养权归属，抚养费支付期间，抚养费金额，抚养费金额递增或变更方式，抚养费支付方式，抚养费支付时间、周期，抚养中大额支出分配，探望时间
，探望次数，探望地点，探望方式均未识别，则不作审核，否则都需审核",,,,未识别,,"探望方式条款缺失或约定不明确，建议补充完整。
",高,"【《中华人民共和国民法典》第一千零八十六条】离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。
行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。
父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。",探望权条款是离婚协议中的重要条款，建议双方协商一致，对探望方式明确约定，例如是否可以过夜，由谁接送子女，以防在子女探望过程中发生争议。,,探望方式确定性审核,子女探望条款
个人财产,识别,婚前.*资产|财产|资金|财务,,,未识别,,"个人财产条款缺失或约定不明确，建议补充完整。
个人财产，离婚时另一方无权分割，如存在，应具体列明。",高,"【《中华人民共和国民法典》第一千零六十三条】下列财产为夫妻一方的个人财产：
（一）一方的婚前财产；
（二）一方因受到人身损害获得的赔偿或者补偿；
（三）遗嘱或者赠与合同中确定只归一方的财产；
（四）一方专用的生活用品；
（五）其他应当归一方的财产。",个人财产的约定是离婚协议中的重要条款，应当明确列出，防止后续的财产纠纷。,,个人财产约定审核,财产分割条款审核
房屋信息,"若房屋信息，房屋归属分配，房屋补偿款，房屋补偿款支付期限，配合办理房屋过户登记期限，
房屋剩余贷款金额，房屋剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核",购房款|房款|房屋总价|房屋总金额,,,未识别,,"房屋信息条款缺失或约定不明确，建议补充完整。
双方应当明确写明房屋的位置、面积、价款、首付款来源、已还贷款金额、剩余贷款金额等具体信息。",高,,房屋信息是分配房屋的必备内容，建议双方作出明确列明房屋的具体坐落，购房款项支出，房屋目前价值，房屋登记信息等，防止后续的纠纷。,,共同财产之房屋信息审核,财产分割条款审核
房屋归属分配,"若房屋信息，房屋归属分配，房屋补偿款，房屋补偿款支付期限，配合办理房屋过户登记期限，
房屋剩余贷款金额，房屋剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核",,,,未识别,,房屋归属分配条款缺失或约定不明确，建议补充完整。,高,,房屋权属分配是分配房屋的重要内容，建议明确约定房屋的所有权归属，防止后续的纠纷。,,共同财产之房屋归属分配审核,财产分割条款审核
房屋补偿款,"若房屋信息，房屋归属分配，房屋补偿款，房屋补偿款支付期限，配合办理房屋过户登记期限，
房屋剩余贷款金额，房屋剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核",,,,未识别,,房屋补偿款条款缺失或约定不明确，建议补充完整。,高,,房屋补偿款是分配房屋的重要内容，建议明确约定由获得房屋所有权一方对未获得房屋所有权一方的补偿金额，防止后续的纠纷。,,共同财产之房屋补偿款审核,财产分割条款审核
房屋补偿款支付期限,"若房屋信息，房屋归属分配，房屋补偿款，房屋补偿款支付期限，配合办理房屋过户登记期限，
房屋剩余贷款金额，房屋剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核",,,,未识别,,补偿款支付期限条款缺失或约定不明确，建议补充完整。,高,,房屋补偿款支付期限是分配房屋的重要内容，建议明确约定补偿金额的支付期限，防止后续的纠纷。,,共同财产之房屋补偿款支付期限审核,财产分割条款审核
配合办理房屋过户登记期限,"若房屋信息，房屋归属分配，房屋补偿款，房屋补偿款支付期限，配合办理房屋过户登记期限，
房屋剩余贷款金额，房屋剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核",,,,未识别,,配合办理房屋过户登记期限条款缺失或约定不明确，建议补充完整。,高,,配合办理房屋过户登记期限是分配房屋的重要内容，建议明确约定配合办理过户登记的配合义务及具体期限，防止后续的纠纷。,,共同财产之房屋分配配合过户期限审核,财产分割条款审核
房屋剩余贷款金额,"若房屋信息，房屋归属分配，房屋补偿款，房屋补偿款支付期限，配合办理房屋过户登记期限，
房屋剩余贷款金额，房屋剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核",,,,未识别,,房屋剩余贷款金额条款缺失或约定不明确，建议补充完整。,高,,房屋剩余贷款金额是分配房屋的重要内容，建议双方对剩余贷款金额作出明确的约定，防止后续的纠纷。,,共同财产之房屋分配剩余贷款责任审核,财产分割条款审核
房屋剩余贷款、过户费用承担主体,"若房屋信息，房屋归属分配，房屋补偿款，房屋补偿款支付期限，配合办理房屋过户登记期限，
房屋剩余贷款金额，房屋剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核",,,,未识别,,房屋剩余贷款、过户费用承担主体缺失或约定不明确，建议补充完整。,高,,房屋剩余贷款、过户费用承担主体是分配房屋的重要内容，建议双方对剩余贷款、过户费用的承担主体作出明确的约定，防止后续的纠纷。,,共同财产之房屋分配剩余贷款、过户费用承担主体审核,财产分割条款审核
存款金额,若存款金额，存款分配，存款交割期限均未识别，则不作审核，否则都需审核,银行存款|现金|账户余额,,,未识别,,"双方存款金额缺失或约定不明确，建议补充完整。
存款一般包括现金和银行存款，建议双方明确约定存款的分割方法以及给付方式。存款金额要大小写一致，明确币种。",高,,存款金额是分配存款的必备内容，建议双方作出明确的约定，防止后续的纠纷。,,共同财产之存款金额审核,财产分割条款审核
存款分配,若存款金额，存款分配，存款交割期限均未识别，则不作审核，否则都需审核,,,,未识别,,"存款分配方法缺失或约定不明确，建议补充完整。
。",高,,存款分配是分配存款的必备内容，建议双方作出明确的约定，防止后续的纠纷。,,共同财产之存款分配审核,财产分割条款审核
存款交割期限,若存款金额，存款分配，存款交割期限均未识别，则不作审核，否则都需审核,,,,未识别,,"存款交割期限缺失或约定不明确，建议补充完整。
。",高,,存款交割期限是分配存款的必备内容，建议双方作出明确的约定，防止后续的纠纷。,,共同财产之存款交割期限审核,财产分割条款审核
车辆信息,若车辆信息，车辆归属分配，车辆补偿款金额，车辆补偿款支付期限，配合办理车辆过户登记期限，车辆剩余贷款金额，车辆剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核,汽车|轿车,,,未识别,,"汽车条款缺失或约定不明确，建议补充完整。
若双方要对汽车进行处理的，双方应当明确写明汽车的牌照、品牌、价款等具体信息。",高,,车辆信息是分配车辆的重要内容，建议双方明确列明车辆品牌，车牌号，车架号，购车款项支出，车辆目前价值，车辆登记信息等，防止后续的纠纷。,,共同财产之车辆信息审核,财产分割条款审核
车辆归属分配,若车辆信息，车辆归属分配，车辆补偿款金额，车辆补偿款支付期限，配合办理车辆过户登记期限，车辆剩余贷款金额，车辆剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核,,,,未识别,,车辆归属分配条款缺失或约定不明确，建议补充完整。,高,,车辆归属分配是分配车辆的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,共同财产之车辆归属分配审核,财产分割条款审核
车辆补偿款金额,若车辆信息，车辆归属分配，车辆补偿款金额，车辆补偿款支付期限，配合办理车辆过户登记期限，车辆剩余贷款金额，车辆剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核,,,,未识别,,车辆补偿款金额条款缺失或约定不明确，建议补充完整。,高,,车辆补偿款金额是分配车辆的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,共同财产之车辆补偿款审核,财产分割条款审核
车辆补偿款支付期限,若车辆信息，车辆归属分配，车辆补偿款金额，车辆补偿款支付期限，配合办理车辆过户登记期限，车辆剩余贷款金额，车辆剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核,,,,未识别,,车辆补偿款支付期限条款缺失或约定不明确，建议补充完整。,高,,车辆补偿款支付期限是分配车辆的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,共同财产之车辆补偿款支付期限审核,财产分割条款审核
配合办理车辆过户登记期限,若车辆信息，车辆归属分配，车辆补偿款金额，车辆补偿款支付期限，配合办理车辆过户登记期限，车辆剩余贷款金额，车辆剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核,,,,未识别,,配合办理车辆过户登记期限条款缺失或约定不明确，建议补充完整。,高,,配合办理车辆过户登记期限是分配车辆的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,共同财产之车辆过户登记审核,财产分割条款审核
车辆剩余贷款金额,若车辆信息，车辆归属分配，车辆补偿款金额，车辆补偿款支付期限，配合办理车辆过户登记期限，车辆剩余贷款金额，车辆剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核,,,,未识别,,车辆剩余贷款金额条款缺失或约定不明确，建议补充完整。,高,,车辆剩余贷款金额是分配车辆的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,共同财产之车辆剩余贷款金额审核,财产分割条款审核
车辆剩余贷款、过户费用承担主体,若车辆信息，车辆归属分配，车辆补偿款金额，车辆补偿款支付期限，配合办理车辆过户登记期限，车辆剩余贷款金额，车辆剩余贷款、过户费用承担主体均未识别，则不作审核，否则都需审核,,,,未识别,,车辆剩余贷款，过户费用承担主体条款缺失或约定不明确，建议补充完整。,高,,车辆剩余贷款，过户费用承担主体是分配车辆的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,共同财产之车辆剩余贷款、过户费用承担主体审核,财产分割条款审核
公司股权,识别,股权|股份,,,未识别,,"公司股权条款缺失或约定不明确，建议补充完整。
若双方要对持有的公司股份进行处理的，双方应当明确写明股份的公司全称、出资情况、股权价值等具体信息，以及对分割方法、补偿金、变更登记、过户费用等作出具体明确的约定。",高,,公司股权是婚后财产的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,共同财产之投资分配审核,财产分割条款审核
其他财产,识别,家具|公积金|养老保险|知识产权|个人用品,,,未识别,,"其他财产条款缺失或约定不明确，建议补充完整。
夫妻的共同财产内容众多，应当对主要的财产作出明确的处理约定。",高,"【《中华人民共和国民法典》第一千零六十二条】夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：
（一）工资、奖金、劳务报酬；
（二）生产、经营、投资的收益；
（三）知识产权的收益；
（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；
（五）其他应当归共同所有的财产。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十五条】婚姻关系存续期间，下列财产属于民法典第一千零六十二条规定的“其他应当归共同所有的财产”：（一）一方以个人财产投资取得的收益；（二）男女双方实际取得或者应当取得的住房补贴、住房公积金；（三）男女双方实际取得或者应当取得的基本养老金、破产安置补偿费。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十六条】夫妻一方个人财产在婚后产生的收益，除孳息和自然增值外，应认定为夫妻共同财产。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十七条 】由一方婚前承租、婚后用共同财产购买的房屋，登记在一方名下的，应当认定为夫妻共同财产|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十八条】一方未经另一方同意出售夫妻共同所有的房屋，第三人善意购买、支付合理对价并已办理不动产登记，另一方主张追回该房屋的，人民法院不予支持。
夫妻一方擅自处分共同所有的房屋造成另一方损失，离婚时另一方请求赔偿损失的，人民法院应予支持。",其他财产的范围较大，建议双方对具体的财产作出明确的约定，防止后续的纠纷。,,共同财产之其他财产分配审核,财产分割条款审核
隐瞒或转移夫妻共同财产的责任,识别,,,,未识别,,隐瞒或转移夫妻共同财产的责任条款缺失或约定不明确，建议补充完整。,高,【《中华人民共和国民法典》第一千零九十二条】夫妻一方隐藏、转移、变卖、毁损、挥霍夫妻共同财产，或者伪造夫妻共同债务企图侵占另一方财产的，在离婚分割夫妻共同财产时，对该方可以少分或者不分。离婚后，另一方发现有上述行为的，可以向人民法院提起诉讼，请求再次分割夫妻共同财产。,隐藏、转移、变卖、毁损、挥霍夫妻共同财产在离婚分割夫妻共同财产时，对该方可以少分或者不分，双方应对该责任明确约定。,,隐藏、转移、变卖、毁损、挥霍夫妻共同财产责任审核,财产分割条款审核
债务处理,识别,欠款,,,未识别,,"债务处理条款缺失或约定不明确，建议补充完整。
债务应当区分个人债务和夫妻共同债务，且对这些债务的分割作出明确的约定，建议双方明确债务的债权人、金额、利率、抵押担保、期限等信息，明确债务承担责任与比例，对于金额的书写要注意大小写一致，且明确币种。",高,"【《中华人民共和国民法典》第一千零六十四条】夫妻双方共同签名或者夫妻一方事后追认等共同意思表示所负的债务，以及夫妻一方在婚姻关系存续期间以个人名义为家庭日常生活需要所负的债务，属于夫妻共同债务。
夫妻一方在婚姻关系存续期间以个人名义超出家庭日常生活需要所负的债务，不属于夫妻共同债务；但是，债权人能够证明该债务用于夫妻共同生活、共同生产经营或者基于夫妻双方共同意思表示的除外。|【《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第三十五条】当事人的离婚协议或者人民法院生效判决、裁定、调解书已经对夫妻财产分割问题作出处理的，债权人仍有权就夫妻共同债务向男女双方主张权利。一方就夫妻共同债务承担清偿责任后，主张由另一方按照离婚协议或者人民法院的法律文书承担相应债务的，人民法院应予支持。",债务处理是处理夫妻财产的重要内容，建议双方作出明确的约定，防止后续的纠纷。需注意离婚协议中关于共同债务的约定不能直接对抗第三人，债权人仍有权就夫妻共同债务向男女双方主张权利。,,夫妻共同债务分配审核,债权债务分配条款审核
债权处理,识别,债权,,,未识别,,"债权处理条款缺失或约定不明确，建议补充完整。
债权应当区分个人债权和夫妻共同债权，且对这些债权的分割作出明确的约定，建议双方明确债权的债务人、金额、利率、抵押担保、期限等信息，明确债权享受比例，对于金额的书写要注意大小写一致，且明确币种。",高,,债权处理是处理夫妻财产的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,夫妻共同债权分配审核,债权债务分配条款审核
