文档名,文本内容,schema,审核意见,审核结果,
caigou3,叁拾陆万元整,产品总价,,通过
caigou3,于2022年3月1日开始交付货物，分3批交付，于2022年8月1日前交付完成。,交货时间,,通过
caigou3,甲方自行准备接收货物的车辆与称量设施，包括卸载人员与费用。,其他费用,,通过
caigou3,甲方对货物质量提出异议的时限为收到货物之日起三个工作日内，并须以书面方式提出。否则，视为无异议。,验收期限,,通过
caigou3,"1.双方协商一致，可以变更、解除本合同。
2.任何一方违反本合同任何条款约定的，在对方催告后十五个工作日内没有改正为全面履行的，守约方有权书面通知违约方解除合同",合同卖方解除,,通过
caigou3,"1.双方协商一致，可以变更、解除本合同。
2.任何一方违反本合同任何条款约定的，在对方催告后十五个工作日内没有改正为全面履行的，守约方有权书面通知违约方解除合同",合同买方解除,,通过
caigou3,"1.非乙方原因，甲方延期付款，每迟延一日，甲方按日向乙方支付迟延付款金额1‰的违约金，直至款项付清之日止，乙方有权相应地迟延交付货物。
2.若乙方未能按本合同约定时间及方式将全部货物交付至甲方指定地点，每迟延一日，乙方按日向甲方支付逾期交付货物总价1‰的违约金，直至全部货物交付之日止。
3.一方接受对方逾期履行的，不视为对其违约行为的认可，仍然有权追究其违约责任，还有权解除合同。
4.在对方未履行义务前，一方按照合同约定履行自己的义务的，不等于认可对方已经履行了先前的义务或同意对方可以不再履行其义务。
5.因出现不可预见、不可避免、不可克服的事件，导致本合同无法有效及时履行的，双方互不承担违约责任。但是遭遇不可抗力方应立即通过电话、微信等方式通知对方，并在通知后的三个工作日内将不可抗力的书面有效证明及本合同无法有效及时履行的书面理由提交给对方确认。否则遭受不可抗力方需承担相应的违约责任。",违约责任,,通过
caigou3,人民币（大写）叁万（￥30000元）。,定金,,通过
caigou3,本合同自双方签章之日起生效,合同生效,,通过
caigou3,本合同在履行中产生争议，双方友好协商解决，若协商不成，任何一方均可向有关部门申请调解，也有权在原告住所地人民法院起诉解决。,争议解决,,通过
caigou1,蝴蝶超市,甲方,,通过
caigou1,由乙方提供运货单，并标明运费付现,其他费用,,通过
caigou2,和泰传媒有限公司,甲方,,通过
caigou3,由甲方提货,交货方式,,通过
caigou3,甲方在结算后三个工作日内将款项直接汇入乙方指定的收款银行账户,支付方式,,通过
caigou3,本合同生效后三个工作日内支付,支付周期,支付周期条款缺失或约定不明确，建议补充完整。常见的支付周期有一次性付款、分期付款等。,不通过
