文档名,文本内容,schema,审核意见
maimai2,根据《中华人民共和国合同法》、《中华人民共和国产品质量法》等相关法律法规之规定，现甲、乙双方经友好协商一致，就甲方向乙方采购，乙方向甲方供应  牙杯牙刷毛巾 （以下简称“产品”）并提供相应服务事宜，签订本合同，以资共同信守。,鉴于条款,"法条引用错误，《民法典》第一千二百六十条 本法自2021年1月1日起施行。
《中华人民共和国婚姻法》、《中华人民共和国继承法》、《中华人民共和国民法通则》、《中华人民共和国收养法》、《中华人民共和国担保法》、《中华人民共和国合同法》、《中华人民共和国物权法》、《中华人民共和国侵权责任法》、《中华人民共和国民法总则》同时废止。"
maimai2,收货30日内,验收期限,验收期限过长，建议修改。买卖合同应当约定合理的验收期限以及验收的异议时间。
maimai2,货款应在本合同签署之日由甲方以银行转账方式一次性支付给乙方。,付款方式与期限,支付方式为一次性支付全部合同价款，建议根据实际交易风险，合理分配价款支付周期。
maimai2,崔秀秀,开户名称,收款账户的开户名与乙方名称不一致，建议核实。建议款项直接支付至合同相对方，谨防向业务员或合同签署主体不一致的账户打款。
maimai2,无需开票,开票缺失,填开发票的单位和个人必须在发生经营业务确认营业收入时开具发票。
maimai2,乙方迟延履行合同义务的，每逾期一日，应按合同总价款的千分之五向甲方支付违约金。逾期超过5日（含5日）的，甲方有权要求乙方支付合同总价款百分之35%的违约金。,违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
maimai2,乙方应承担的违约金或赔偿金，甲方有权在应付未付款（如有）中直接扣除，不足部分有权继续向乙方追偿。,违约责任,违约责任较严格，增加卖方交易风险，建议核实。
maimai2,本合同一经签订，任何一方禁止解除。,合同解除,合同解除条款缺失或约定不明确，建议补充完整。
maimai3,甲方应当于收到货物后1日内，对产品数量、型号、外观等进行初步验收。,验收期限,验收期限过短，建议修改。买卖合同应当约定合理的验收期限以及验收的异议时间。
maimai3,一次性支付：货到后甲方验收合格后【1】个工作日内，甲方向乙方一次性支付本合同项下费用。,付款方式与期限,支付方式为一次性支付全部合同价款，建议根据实际交易风险，合理分配价款支付周期。
maimai3,甲方有权解除本合同并要求乙方支付合同总价款【40】%的违约金，违约金不足弥补甲方损失的，乙方应继续赔偿。,违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
maimai3,因乙方提供给甲方的产品质量问题导致甲方客户投诉，造成甲方损失的，乙方应按人民币【10000】元向甲方支付违约金，违约金不足以弥补甲方损失的，乙方应赔偿全部损失。,违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
maimai3,除本合同另有约定外，任何一方违反本合同项下约定的义务的，均构成违约，需向守约方承担损失赔偿责任，损失无法计算的，按【10000】元计算。,违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
maimai3,"单位名称（全称）：杭州市起舞那有限公司
单位税号：42010719440806833X
单位地址、电话：13558669574，辽宁省郑州市丰都周街A座579号
单位银行账号、开户银行：工商银行台州支行",开票信息,开票信息与买方主体不一致，建议修改为买方开票信息。
maimai4,根据《中华人民共和国合同法》及相关法律、法规的规定，为明确双方权利义务，甲乙双方经充分协商，签订本合同。,鉴于条款,"法条引用错误，《民法典》第一千二百六十条 本法自2021年1月1日起施行。
《中华人民共和国婚姻法》、《中华人民共和国继承法》、《中华人民共和国民法通则》、《中华人民共和国收养法》、《中华人民共和国担保法》、《中华人民共和国合同法》、《中华人民共和国物权法》、《中华人民共和国侵权责任法》、《中华人民共和国民法总则》同时废止。"
maimai4,交付之日，一次性结清货款,付款方式与期限,支付方式为一次性支付全部合同价款，建议根据实际交易风险，合理分配价款支付周期。
